change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
head|n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的
input|n.输入v.输入
test|n.测试,试验,检验v.测试,试验,检验
filename|文件名
byte|n.字节,8位元组
text|n.正文,原文,课文,课本
tail|n.尾部,尾巴,尾状物,后部,(常用复数)(硬币)反面辫子,踪迹,排的长队,限定继承权adj.在后面的,从后面而来的,限定继承的,尾部的,后面来的,后部的vt.为...装尾,附于其后,尾随,跟踪,使搭牢,监视,使架住vi.成为散乱的行列,跟踪,嵌入,船尾搁浅
should|v.aux.应该,将要
few|adj.很少的,不多的,少数的n.[表示否定]很少数,几乎没有
short|n.简略,短路,短裤adj.短的,矮的,不足的,不够的,(智力等)弱的,浅薄的,松脆的,简短adv.突然,缺乏,不足
could|vbl.can的过去式
year|n.年,年龄,年岁
week|n.星期,周
day|n.天,白天,日子,白昼,黎明,工作日,节日,重要日子
decimal|adj.十进的,小数的,以十为基础的,十进制n.小数
month|n.月
numeric|adj.数字的
lc|null
-hour|n.小时,钟头,...点钟,课时,(一段)时间
Sunday|n.星期日
hour|n.小时,钟头,...点钟,课时,(一段)时间
weekday|n.周日,平日
Monday|n.星期一
fff|null
zone|n.地域,地带,地区,环带,圈vt.环绕,使分成地带vi.分成区
mm|null
cut|v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口
sss|null
operation|n.运转,操作,实施,作用,业务,工作,手术,军事行动
om|null
plus|prep.加上adj.正的,加的
ou|null
ow|null
feb|null
cst|null
yyyy|null
pm|null
mmddhhmm|null
ex|null
ey|null
new|adj.新的,初见的,更新的adv.新近
insert|vt.插入,嵌入n.插入物
last|adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头
have|vt.有,持有,拿,从事(某事)aux.已经
hh|null
offset|n.偏移量,抵销,弥补,分支,平版印刷,胶印vt.弥补,抵销,用平版印刷vi.偏移,形成分支
minutes|分钟
fill|vt.装满,注满,充满,填充,弥漫,供应,供给,满足vi.充满n.满足,饱,充分,填方v.填充
century|n.世纪,百年,百个,板球中的一百分,百元(钞票)
source|n.来源,水源,消息来源,原始资料,发起者源,源极
out|adj.外面的,下台的,出局的adv.在外,出声地,显露出来地,明显地,从头至尾地n.外面,外出,外观vt.赶出,击倒,使退场vi.外出,暴露prep.通过
accept|vt.接受,认可,承担,承兑vi.同意,承认
until|prep.到...为止,在...以前conj.到...为止,在...以前,直到...才
oe|null
slow|adj.慢的,迟钝的,不活跃的,缓慢的v.(～down)(使)慢下来,(使)减速,减缓adv.缓慢
copy|n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭
ov|null
always|adv.总是,永远,始终
am-pm|null
content|n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足
sat|vbl.sit的过去式n.(Sat)星期六(Saturday)
try|n.尝试v.试,试图,努力,试验,磨难,考验,审问
unless|conj.如果不,除非
slowly|adv.慢慢地,迟缓地
base|n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于...adj.卑鄙的,低级的
down|adj.向下的adv.向下,在下面,下去,降下prep.往下,沿着n.绒毛,软毛,开阔的高地
location|n.位置,场所,特定区域，<美>[电影]外景拍摄场地
since|adv.以后,后来,以前prep.自从,自...以来conj.自...以后,自...以来,因为,既然
ss|null
control|n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制
period|n.时期,学时,节,句点,周期,（妇女的）经期adj.过去某段时期的int.没有了
override|vt.制服,践踏,奔越过,蹂躏,不顾,不考虑(某人的意见,决定,愿望等)n.代理佣金
about|adv.附近,大约,转向,左右,周围prep.在附近,关于,在...周围,忙于
affect|vt.影响,感动,侵袭,假装
minute|n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的
area|n.范围,区域,面积,地区,空地
four|num.四,四个,第四(卷,章,叶等)
less|n.较少,较小adj.少的,小的adv.较少地,更小地,不及prep.减去
print|n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写[计]打印
am|prep.是,在n.A.M.上午,午前[域]Armenia,亚美尼亚abbr.[军]AmplitudeModulation,调幅
local|adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部
their|pron.他们的,她们的,它们的
collect|v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地
queue|n.行列,长队,队列vi.排队,排队等待
turn|n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)
back|adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持
provide|v.供应,供给,准备,预防,规定
frame|n.结构,体格vt.构成,设计,制定,使适合,陷害vi.<英方>有成功希望n.帧,画面,框架
query|n.质问,询问,怀疑,疑问v.询问,表示怀疑
switch|n.开关,电闸,转换vt.转换,转变
thread|n.线,细丝,线索,思路,螺纹
belonging|[常用复]附属品,附件属性
amount|n.数量vi.(to)总计,等于
however|adv.无论如何,可是,仍然,究竟conj.不管用何种方法,然而,可是
generate|vt.产生,发生
performance|n.履行,执行,成绩,性能,表演,演奏
capacity|n.容量,生产量,容量,智能,才能,能力,接受力,地位
were|vbl.be的过去式
check|n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军
refer|vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询
event|n.事件,事变,结果,活动,精力,竞赛
retain|vt.保持,保留
made|adj.已制成的,人工制造的,成功的,虚构的vbl.make的过去式和过去分词
library|n.图书馆,藏书室,库
transfer|n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车
collected|adj.收集成的,冷静的,镇定的
summary|n.摘要,概要
record|n.履历,档案,诉状,最高纪录,报告,唱片vt.记录,标明,将...录音vi.录音,被录音adj.创纪录的
access|n.通路,访问,入门vt.存取,接近
connection|n.连接,关系,接线,线路,亲戚
search|n.搜寻,查究v.搜索,搜寻,探求,调查
what|pron.什么int.怎么,多么adj.什么adv.到什么程度,在哪一方面n.本质,实质,要素
computational|adj.计算的
least|adj.最小的,最少的adv.最少,最小
get|vt.获得,变成,收获,使得,挣得,受到(惩罚,打击等),染上,抓住vi.到达,成为,变得n.生殖,幼兽
update|v.使现代化,修正,校正,更新n.现代化,更新
through|prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的
real-memory|null
inside|n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面prep.在...之内
they|pron.他们,它们
respond|v.回答,响应,作出反应vi.有反应
most|adj.最多的,多数的,大部分的adv.最,最多,很,十分,最,最大的,其中大多数,极其n.大多数,大部分
quit|vi.离开,辞职,停止vt.离开,放弃,解除,停止
action|n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉
owner|n.所有者,业主
below|prep.在...下面,adv.在下,在页底
spent|adj.用尽的,精疲力尽的,失去效能的
twenty|num.二十,二十个
arrow|n.箭,箭头记号
under|prep.在...之下,在...之内,在...领导下,低于,假借adv.在下
bottom|n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础
packet|n.小包裹,小捆v.包装信息包
become|vi.变成,成为,变得vt.适合,相称
above|adj.上面的,上述的,上文的adv.在上面prep.在...上方,过于,超出
invoke|v.调用
via|prep.经,通过,经由
bring|vt.拿来,带来,产生,引起,提出(诉讼)vi.停下
cover|n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替
form|n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成
elapse|vi.(时间)过去,消逝v.流逝
cross|n.十字,交叉,十字架,十字形物adj.交叉的,相反的,乖戾的v.使交叉,横过,勾划,错过,反对,杂交
block|n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞
steal|v.偷,窃取,偷窃,偷盗
belong|vi.属于,住
password|n.密码,口令
function|n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责
once|n.adv.一次,从前,曾经conj.一旦
discovery|n.发现,发明的东西
left|adj.左边的,左倾的,左侧的,左派的,左翼的adv.在左面n.左,左边,左派vbl.leave的过去式和过去分词
background|n.背景,后台,不重要或不引人注目的地方或位置
careful|adj.小心的,仔细的
exception|n.除外,例外,反对,异议
consumer|n.消费者
who|pron.谁,那...的(人)
overall|adj.全部的,全面的
automatic|n.自动机械adj.自动的,无意识的,机械的
label|n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注[计]加上或修改磁盘的标签
recommend|vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取
locate|vt.查找...的地点,使...坐落于,位于v.定位,位于
requirement|n.需求,要求,必要条件,需要的东西,要求必备的条件
color|n.<美>(colour)颜色,色彩,脸色,风格,外貌vt.给...涂颜色,改变...的颜色,粉饰,脸红,歪曲vi.获得颜色,变色
lower|adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低
overhead|adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处
worth|prep.相当...价值n.价值,财产adj.值钱的,值的看中的
fully|adv.充分地,完全地,足足,至少
refresh|v.(使)精神振作,(使)精力恢复,更新
move|n.移动,迁居,步骤vt.移动,感动,鼓动vi.移动,离开,运行,迁移,搬家
suitable|adj.适当的,相配的
distribution|n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类发送,发行
bar|n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业
force|n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力
calculating|计算(用)的
every|adj.每一的,每个的,全部的,每隔...的
such|adj.这样的,这种,某一pron.这样的人(们)或物
footprint|n.足迹,脚印
able|adj.能...的,有才能的,能干的,能够的
various|adj.不同的,各种各样的,多方面的,多样的
besides|adv.此外prep.除...之外
offer|n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议
step|n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏产品数据转换规范
limited|adj.有限的,狭窄的,缺乏创见的n.高级快车
nice|adj.美好的,和蔼的,正派的,细微的,挑剔的,精密的,拘泥的
ready|adj.有准备的,准备完毕的,甘心的,情愿的,现成的,迅速的
split|v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕
lifetime|n.一生,终生,寿命
mount|n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演
chart|n.海图,图表vt.制图
dog|n.狗,犬,类似犬的动物,卑鄙的人,小人,坏蛋vt.跟踪,尾随
confirm|vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼
keep|n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断
general|n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的n.常规
service|n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的
scan|v.细看,审视,浏览,扫描n.扫描
certain|adj.确定的,某一个,无疑的,必然的,可靠的pron.某几个,某些
brief|n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令
assign|vt.分配,指派v.赋值[计]将驱动器符重定向至第二个驱动器符
whether|conj.是否,不管,无论
art|n.艺术,艺术品,技术,巧妙,美术
table|n.桌子,餐桌,工作台,平地层,石板,表格adj.桌子的,台子的vt.搁置,嵌合,制表
create|vt.创造,创作,引起,造成
some|adj.一些,少许,若干,有些,大约,相当的pron.一些,若干,有些,某些
ship|n.船,海船,舰v.装上船,航运,载运,在船上工作
twice|adv.两次,两倍
want|vt.想要,希望,需要,短缺,缺少n.需要,短缺
window|n.窗,窗口
stop|n.停止,车站,逗留,障碍,风琴的音栓,填塞vi.停止,被塞住vt.塞住,堵塞,阻止,击落,断绝,终止,难倒
convert|n.皈依者vt.使转变,转换...,使...改变信仰
mean|adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸
entry|n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入
instead|adv.代替,改为,抵作,更换
children|n.孩子,孩子们
book|n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告
gutenberg|null
project|n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出
child|n.孩子,儿女,子孙,(头脑、空想等的)产物,弟子,追随者
story|n.故事,小说,传说,事迹,经历,假话,谎话
ebooks|电子书
website|网站
Christmas|n.（纪念耶稣基督生的节日,12月25日）圣诞节
picture|n.画,图画,照片,像,美景,描述,相似物,化身vt.画,描绘
history|n.历史,历史学,过去的事(的记载),来历,历史记录
myth|n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法
school|n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育
producer|n.生产者,制作者,演出人,(电影)制片人
he|pron.他n.男,雄abbr.[军]HighExplosive,高爆炸药
his|pron.他的
had|vbl.have的过去式和过去分词conj.有
her|pron.她的,她
she|pron.[主格]她
my|pron.我的int.<口>嗳呀!啊呀![域]Malaysia,马来西亚
would|v.aux.will的过去式,将,愿意
him|pron.他
me|pron.我
there|adv.在那里
been|vbl.(be)的过去分词,到过,去过,是,有,来过又走了
father|n.父亲,岳父,公(丈夫的父亲),祖先,前辈,长辈,神父,创始者vt.当...的父亲,保护,创立,治理,发明,培养
said|vbl.say的过去式和过去分词adj.上述的
old|adj.年老的,老的,...岁的,陈旧的,古老的
